Timestamp,UserID,Action,ResponseTime
2025-01-01 00:00:00,U6,SUCCESS,797
2025-01-01 00:01:00,U3,SUCCESS,396
2025-01-01 00:02:00,U4,SUCCESS,962
2025-01-01 00:03:00,U3,SUCCESS,761
2025-01-01 00:04:00,U8,SUCCESS,369
2025-01-01 00:05:00,U5,ERROR,121
2025-01-01 00:06:00,U4,SUCCESS,891
2025-01-01 00:07:00,U6,SUCCESS,366
2025-01-01 00:08:00,U5,ERROR,475
2025-01-01 00:09:00,U8,SUCCESS,230
2025-01-01 00:10:00,U9,ERROR,348
2025-01-01 00:11:00,U5,SUCCESS,442
2025-01-01 00:12:00,U8,SUCCESS,762
2025-01-01 00:13:00,U7,SUCCESS,910
2025-01-01 00:14:00,U2,SUCCESS,774
2025-01-01 00:15:00,U2,ERROR,654
2025-01-01 00:16:00,U5,SUCCESS,626
2025-01-01 00:17:00,U3,SUCCESS,346
2025-01-01 00:18:00,U3,SUCCESS,673
2025-01-01 00:19:00,U7,SUCCESS,897
2025-01-01 00:20:00,U3,SUCCESS,943
2025-01-01 00:21:00,U6,ERROR,840
2025-01-01 00:22:00,U9,SUCCESS,872
2025-01-01 00:23:00,U4,SUCCESS,245
2025-01-01 00:24:00,U3,SUCCESS,985
2025-01-01 00:25:00,U2,SUCCESS,298
2025-01-01 00:26:00,U6,SUCCESS,980
2025-01-01 00:27:00,U8,ERROR,757
2025-01-01 00:28:00,U6,SUCCESS,972
2025-01-01 00:29:00,U8,SUCCESS,831
2025-01-01 00:30:00,U3,ERROR,684
2025-01-01 00:31:00,U8,SUCCESS,351
2025-01-01 00:32:00,U7,SUCCESS,425
2025-01-01 00:33:00,U6,ERROR,238
2025-01-01 00:34:00,U4,SUCCESS,960
2025-01-01 00:35:00,U4,SUCCESS,393
2025-01-01 00:36:00,U2,SUCCESS,736
2025-01-01 00:37:00,U9,SUCCESS,586
2025-01-01 00:38:00,U7,ERROR,567
2025-01-01 00:39:00,U7,SUCCESS,139
2025-01-01 00:40:00,U9,SUCCESS,155
2025-01-01 00:41:00,U7,SUCCESS,234
2025-01-01 00:42:00,U2,ERROR,966
2025-01-01 00:43:00,U4,SUCCESS,491
2025-01-01 00:44:00,U3,SUCCESS,157
2025-01-01 00:45:00,U5,ERROR,237
2025-01-01 00:46:00,U2,SUCCESS,113
2025-01-01 00:47:00,U2,SUCCESS,635
2025-01-01 00:48:00,U5,SUCCESS,793
2025-01-01 00:49:00,U8,SUCCESS,257
2025-01-01 00:50:00,U3,ERROR,534
2025-01-01 00:51:00,U7,ERROR,992
2025-01-01 00:52:00,U1,SUCCESS,635
2025-01-01 00:53:00,U2,SUCCESS,648
2025-01-01 00:54:00,U9,SUCCESS,705
2025-01-01 00:55:00,U3,SUCCESS,998
2025-01-01 00:56:00,U1,SUCCESS,728
2025-01-01 00:57:00,U9,SUCCESS,702
2025-01-01 00:58:00,U1,SUCCESS,890
2025-01-01 00:59:00,U1,SUCCESS,399
2025-01-01 01:00:00,U4,SUCCESS,835
2025-01-01 01:01:00,U5,SUCCESS,489
2025-01-01 01:02:00,U2,SUCCESS,294
2025-01-01 01:03:00,U3,ERROR,533
2025-01-01 01:04:00,U9,SUCCESS,928
2025-01-01 01:05:00,U8,SUCCESS,938
2025-01-01 01:06:00,U6,SUCCESS,165
2025-01-01 01:07:00,U9,ERROR,306
2025-01-01 01:08:00,U7,SUCCESS,574
2025-01-01 01:09:00,U4,SUCCESS,430
2025-01-01 01:10:00,U2,SUCCESS,144
2025-01-01 01:11:00,U4,ERROR,712
2025-01-01 01:12:00,U7,SUCCESS,694
2025-01-01 01:13:00,U1,ERROR,136
2025-01-01 01:14:00,U7,SUCCESS,162
2025-01-01 01:15:00,U5,SUCCESS,980
2025-01-01 01:16:00,U5,SUCCESS,783
2025-01-01 01:17:00,U7,SUCCESS,640
2025-01-01 01:18:00,U7,SUCCESS,679
2025-01-01 01:19:00,U5,ERROR,842
2025-01-01 01:20:00,U2,SUCCESS,243
2025-01-01 01:21:00,U7,ERROR,958
2025-01-01 01:22:00,U6,SUCCESS,441
2025-01-01 01:23:00,U1,SUCCESS,637
2025-01-01 01:24:00,U9,ERROR,280
2025-01-01 01:25:00,U7,ERROR,109
2025-01-01 01:26:00,U9,ERROR,881
2025-01-01 01:27:00,U1,SUCCESS,444
2025-01-01 01:28:00,U2,SUCCESS,382
2025-01-01 01:29:00,U7,ERROR,446
2025-01-01 01:30:00,U5,SUCCESS,304
2025-01-01 01:31:00,U6,ERROR,778
2025-01-01 01:32:00,U6,ERROR,365
2025-01-01 01:33:00,U7,ERROR,774
2025-01-01 01:34:00,U1,SUCCESS,266
2025-01-01 01:35:00,U7,SUCCESS,356
2025-01-01 01:36:00,U3,ERROR,686
2025-01-01 01:37:00,U9,SUCCESS,725
2025-01-01 01:38:00,U4,SUCCESS,747
2025-01-01 01:39:00,U7,SUCCESS,510
2025-01-01 01:40:00,U8,ERROR,443
2025-01-01 01:41:00,U9,SUCCESS,379
2025-01-01 01:42:00,U1,SUCCESS,273
2025-01-01 01:43:00,U9,ERROR,633
2025-01-01 01:44:00,U8,SUCCESS,438
2025-01-01 01:45:00,U6,SUCCESS,604
2025-01-01 01:46:00,U9,SUCCESS,776
2025-01-01 01:47:00,U4,SUCCESS,537
2025-01-01 01:48:00,U5,SUCCESS,601
2025-01-01 01:49:00,U9,ERROR,312
2025-01-01 01:50:00,U2,SUCCESS,785
2025-01-01 01:51:00,U5,SUCCESS,467
2025-01-01 01:52:00,U7,SUCCESS,820
2025-01-01 01:53:00,U6,SUCCESS,925
2025-01-01 01:54:00,U2,SUCCESS,868
2025-01-01 01:55:00,U8,SUCCESS,259
2025-01-01 01:56:00,U5,ERROR,946
2025-01-01 01:57:00,U3,SUCCESS,199
2025-01-01 01:58:00,U2,SUCCESS,470
2025-01-01 01:59:00,U7,SUCCESS,447
2025-01-01 02:00:00,U7,SUCCESS,406
2025-01-01 02:01:00,U1,SUCCESS,178
2025-01-01 02:02:00,U9,ERROR,994
2025-01-01 02:03:00,U4,SUCCESS,918
2025-01-01 02:04:00,U5,ERROR,248
